sno.,name,cuisine,course,diet, price 
127,Homemade Harissa Paste .,Continental,Side Dish,Vegetarian, $15.00 
128,Zucchini Paratha .,Indian,Indian Breakfast,Diabetic Friendly, $30.00 
129,Moolangi Tovve . - Radish Curry,South Indian  .,Lunch,Vegetarian, $10.00 
130,Whole Wheat Crepes With Roasted Vegetables And White Sauce .,Continental,World Breakfast,Vegetarian, $10.00 
131,Authentic Moong Dal Halwa ,Indian,Dessert,Vegetarian, $400.00 
132,Schezwan Style Chinese Veg Samosa . - Roz Ka Khana with Figaro Olive Oil,Indian,Snack,Vegetarian, $10.00 
133,Goan Style Black Chickpeas And Cucumber Masala . (Taushem Tondak),Goan  .,Lunch,High Protein Vegetarian, $15.00 
134, Indian Style Mutton Curry ., Indian,Dinner,Non Vegeterian, $30.00 
135,Beer Batter Prawns .,Indian,Appetizer,Non Vegeterian, $30.00 
136,Konkan Style Vali Bhajji Ambat .-Spiced Malabar Spinach Dal,Konkan,Dinner,High Protein Vegetarian, $10.00 
137,Cantonese Style Chicken Chowmein .,Chinese,Lunch,Non Vegeterian, $-   
138,"Authentic Sindhi Style Aloo Gobi Methi Tuk .: Flavorful Blend of Potatoes, Cauliflower, and Fenugreek Leaves",Sindhi,Appetizer,Vegetarian, $15.00 
139,Wheat Berry Salad With Cranberries & Carrots .,Continental,Appetizer,Vegetarian, $15.00 
140,Ellu Sadam . - Sesame Rice,South Indian  .,Lunch,, $20.00 
141,Authentic Kala Chana Masala .: A Flavorful Delight,Indian,Dinner,High Protein Vegetarian, $120.00 
142,Coorg Mange Pajji . - Delicious Ripe Mango Raita,Coorg,Lunch,Vegetarian, $10.00 
143,Authentic Coorg Style Bollari Barthad . - Mangalore Cucumber Stir Fry,Coorg,Side Dish,Vegetarian, $10.00 
144,Delightful Coorg Style Kaad Manga Curry .: Sweet & Spicy Mango Curry,Coorg,Side Dish,Vegetarian, $15.00 
145,Authentic Coorg Style Kadumbuttu/Kadambuttu . - Steamed Rice Balls .,Coorg,South Indian Breakfast,Vegetarian, $-   
146,Quinoa and Vegetable Saute .,Indian,Dinner,High Protein Vegetarian, $10.00 
147,Kerala Kadala Curry . - Spicy Chickpeas in Coconut Curry,Kerala  .,South Indian Breakfast,High Protein Vegetarian, $400.00 
148,Ghee Tooria Per Eda . - Parsi Style Ridge Gourd With Fried Eggs,Parsi  .,Indian Breakfast,Eggetarian, $10.00 
149,Tangy Heat Fusion: Pineapple Jalape??o Poppers .,Continental,Appetizer,Vegetarian, $20.00 
150,Narthangai Curry | Sweet and Sour Citron fruit Curry,South Indian  .,Side Dish,Vegetarian, $25.00 
151, Ragi Sprouts,Indian,Main Course,Vegetarian, $10.00 
152,Indonesian Potato And Chicken Croquette .,Indonesian,Appetizer,Non Vegeterian, $15.00 
153,Vankaya Gasagasala Kura |  Indian Style Eggplant Poppy Seeds Curry ., Indian,Dinner,Vegetarian, $15.00 
154,Biyyapu Rotte . (Rice Flour Roti),South Indian  .,South Indian Breakfast,Gluten Free, $25.00 
155,Pan Grilled Balsamic Chicken Breast And Mushrooms .,Continental,Main Course,Non Vegetarian, $15.00 
156,Turmeric Amla Ginger Juice - Indonesian Jamu . | Anti Inflammatory Health Tonic,Indonesian,Appetizer,Vegetarian, $20.00 
157,Orange Peppermint Green Tea Punch .,Continental,Appetizer,Vegetarian, $20.00 
158,Cold Coffee .,Continental,Snack,Vegetarian, $5.00 
159,Divinely Delicious Amrakhand .: Mango Shrikhand Delight!,Maharashtrian  .,Dessert,Vegetarian, $10.00 
160,Bhaat Na Muthiya Dhokla . | Gujarati Farsan | Snack, Indian,Indian Breakfast,Vegetarian, $15.00 
161,Doodhi Na Muthiya Dhokla .: Healthy Gujarati Steamed Snack with Bottle Gourd, Indian,Snack,Vegetarian, $15.00 
162,Tandoori Aloo Gobi Kathi Roll . - Spicy Aloo Gobi Frankie ,Indian,Snack,Vegetarian, $20.00 
163,Lauki Halwa .: How to Make Mouthwatering Bottle Gourd Halwa at Home,Indian,Dessert,Vegetarian, $20.00 
164,"Karwar Style Bibya Usal .: Spiced Cashew Nut Sabzi Infused with Coconut, Green Chillies, and Ginger", Indian,Side Dish,Vegetarian, $20.00 
165,Paruppu Urundai Mor Kuzhambu: Authentic South Indian .,Tamil Nadu,Lunch,High Protein Vegetarian, $10.00 
166,Karwar Bharli Vangi .: Delicious Stuffed Eggplant from the Konkan Coast, Indian,Lunch,Vegetarian, $30.00 
167,Delicious Bharva Bhindi .: Pan-Fried Stuffed Okra with Crushed Roasted Peanut Sesame and Tangy Amchur Masala,Indian,Lunch,Vegetarian, $10.00 
168,Deliciously Tangy Dahi Wale Aloo .: A Flavorful Twist to Your Potato Dishes,Indian,Lunch,Vegetarian, $10.00 
169,Ari Pathiri . | Malabar Rice Flatbread .,Malabar,Indian Breakfast,Gluten Free, $30.00 
170,"Cherry Tomato, Cucumber, Onion Salad in Red Wine Vinaigrette Dressing .",Continental,Appetizer,Vegan, $25.00 
171,Curd Rice With Carrots .,Indian,Lunch,Vegetarian, $15.00 
172,15 Minutes Mexican Fried Rice .,Mexican,Dinner,Vegetarian, $5.00 
173,Goan Style Tonak Alsanyache . (Black eyed beans cooked in Tonak Masala .),Goan  .,Lunch,Vegetarian, $70.00 
174,Mini Onion Vada With Vengaya Sambar . - Pan Fried Fritters in Tangy Lentil Curry,Tamil Nadu,South Indian Breakfast,Vegetarian, $190.00 
175,Authentic Chettinad Paruppu Urundai Kuzhambu .: Tangy Lentil Ball Delight,South Indian  .,Lunch,Vegetarian, $10.00 
176,Methi Jowar Roti . (Fenugreek & Millet flatbread),Rajasthani,Lunch,Gluten Free, $5.00 
177,Garlic Spinach Balls .,Continental,Dinner,Vegetarian, $15.00 
178,Bendekayi Puli Koddel . - Lady Finger In Coconut Tamarind Curry,Mangalorean,Side Dish,Vegetarian, $10.00 
179,Pasta Wheels & Eggplant Gratin .,Italian,Dinner,Vegetarian, $20.00 
180,Rawalpindi Style Chole .,Punjabi,Dinner,High Protein Vegetarian, $10.00 
181,Poblano Chili Rellenos . - Baked Cheese Stuffed Chilies,Mexican,Appetizer,Vegetarian, $10.00 
182,Nawabi Kofta Curry .,Indian,Dinner,Vegetarian, $30.00 
183,Konkan Style Modachya Moongachi Amti .-Sprouted Moong Bean Curry,Konkan,Lunch,Vegetarian, $15.00 
184,Cauliflower Au Gratin . - French Style Cauliflower & Cheese Bake,Continental,Dinner,Vegetarian, $20.00 
185,Chicken Meatball Tacos .,Mexican,Appetizer,Non Vegeterian, $10.00 
186,Turai Aloo Ki Sabzi . - Ridge Gourd Potato Curry,Indian,Side Dish,Vegetarian, $15.00 
187,Saffron Infused Delight: Authentic Kesar Shrikhand ., Indian,Dessert,Vegetarian, $900.00 
188,Pizza With Soy And Corn .,Italian,Dinner,High Protein Vegetarian, $20.00 
189,Kerala Vendakkai Thoran . - Okra Stir Fry with Coconut,Kerala  .,Dinner,Vegetarian, $10.00 
190,Rock Toast . - Semolina Bread Toast,Indian,Indian Breakfast,Vegetarian, $10.00 
191, Indian Style Mukkala Pulusu .-Sweet Tangy Vegetable Stew, Indian,Lunch,Vegetarian, $10.00 
192,Vadyancho Ross . (Ash Gourd Chips Curry),Goan  .,Lunch,Vegetarian, $10.00 
193,Curried Carrot Celery Soup .,Continental,Dinner,Vegetarian, $10.00 
194,Kerala Pumpkin Pachadi . (Parangikai Pachadi),Kerala  .,Lunch,Vegetarian, $10.00 
195,Togari Bele Tovve . - Toor Dal Rasam,South Indian  .,Lunch,High Protein Vegetarian, $10.00 
196,Kathirikai Urulai Kizhangu Kara Kuzhambu .,Chettinad,Lunch,Vegetarian, $30.00 
197,Spinach Fig & Cherry Tomatoes Salad with Red Wine Vinaigrette .,Continental,Appetizer,Vegetarian, $15.00 
198,Paneer Kali Mirch . - Paneer in White Gravy Flavoured with Black Pepper,Indian,Main Course,High Protein Vegetarian, $10.00 
199,Awadhi Style Karela Ka Dulma . - Stuffed Bitter Gourd In Yogurt Gravy,Awadhi,Side Dish,Diabetic Friendly, $10.00 
200,Naked Burrito Bowl .,Mexican,Dinner,Vegetarian, $14.00 
201,Kongunadu Style Senai Kilangu Masala . - Yam in Spicy Gravy,Tamil Nadu,Side Dish,Vegetarian, $10.00 
202,Karwar Style Muga Ambat . (Moong Sprouts in Coconut Curry), Indian,Side Dish,High Protein Vegetarian, $10.00 
203,Tawa Paratha . - Plain Paratha,Indian,Main Course,Vegetarian, $20.00 
204,Corn Cheese Balls .,Continental,Appetizer,Vegetarian, $10.00 
